,content
167,"Mau kasih sedikit saran aja kak. Boleh gak buat tambahan, Di aplikasi ""less coffee"" karena membantu bgt buat yg kurang suka kopi tp tetep pengen minum kopi. Beberapa kali ordee di apl hrs buru"" ke baristanya biyar kopinya gak kebanyakan 😓 Semoga bisa jd bahan pertimbangan 🙏"
168,"Pemesanan melalui aplikasi sering error (toko tidak dapat dipesan) dengan tulisan toko terlalu ramai atau sebagainya, sedangkan dari pihak kasir menyarankan untur order melalui aplikasi agar lebih cepat. Mungkin bisa dibenahi"
169,Order via app ga slesai-slesai. Ga jelas
170,"Promo tidak dapat di pakai padahal pengguna baru, pada aplikasi sering ada peringatan tertekan terlalu sering padahal baru klik 2x."
171,Penipuan kopi 9rb gk dapat
172,🔥🔥
173,Kopi mantapppp
174,Good apk
175,Pling suka seri cloudnya am choco danish
176,Bagus bgt enak kopinya tempatnya pun nyaman
177,Enak bgt
178,"Bagus pelayanan nya ramah"""
179,tempatnya nyaman buat nongkrong
180,Apk gak jelas. Promonya gak bisa di pakai dan Kopinya Enakan KOPKEN
181,"Kualitas semakin jelek di tomoro unnes semarang...sudah tdk ada bag untuk tempat kopi beli 3 take away kerepotan, sudah tdk pakai sedotan dgn alasan eco tp tdk ada solusi pengganti...kerepotan dalam ngaduk gula yg dibawah...coba dikocok tumpah...payah sekalian aja beli kopi suruh bawa gelas dr rumah"
182,Enak dan sering kasih promo....👍🙏
183,"App tol0l tiap hari tiap waktu store nya busy, bngst"
184,"tolong untuk pengisian alamat jika delivery agar alamat dapat dipin sesuai titik karena user tidak bisa melihat titik lokasi rumah yang sesuai, menyebabkan kurir pengantar bisa salah lokasi"
185,Bagus
186,Payment via QRIS malah di ilangin
187,"Kerennn, terimakasih ya atas bonus dan diskonnya!"
188,"Beli langsung maupun pake aplikasi sama saja.. Malah aplikasi banyak masalah.. Issue pembayaran, blom lagi promo nya banyak jebakan. Terakhir permainan spin adalah penipuan.. 3x spin dengan bayar pake poin, 3x pula zonk... HATI HATI yah yg pake aplikasi."
189,Excellent
190,"So far so good. Tomoro braga👌👌✨✨ Tempat nya enaak nyaman, ada ruangan AC didalem sama ruangan diluar buat smoking area."
191,Mantap mas
192,"Baru banget download, dapet bonus voucher all coffee 9k/cups, eh Voucher belom dipake udah angus duluan dihari yg sama padahal, aneh banget aplikasinya"
193,"Untuk kopi enak, tapi sayang untuk pemesanan gk ada note dan untuk ganti nomor gk bisa. Tolong minta update dong"
194,Tempatnya nyaman ber Ac dekat dengan pekerjaan.
195,Mantaf the best
196,Bisa gak kalo dine in itu dikasih nampan buat bawa + biar g berantakan
197,"Sucks, adain promo tp gbsa dipake"
198,Buruk pesen barang gx mau bayar
199,Buat yg mau dapet promo 9k sebenernya yg paling simple itu ajakin aja temen yg belom punya apk tomoro dgn kash refferal kita nanti kita juga auto dapet promo 9k setelah teman kita order ... Jadi kaya MLM gitu lahh alurnya Kalau yg bantu teman itu emng lebih effort karna si teman di batasi (keknya 3x an) makanya ga smua bantuan teman bisa masuk ... saya minggu ini udh dpt 4voucher dan 2 yg masih menunggu .. Best sihh promonya kopi nya juga enak aman di lambung....
200,"Aplikasinya kek tolol.ribet bat mo beli kopi doang. Ga usah iming2 diskon2 gak jelas dah kalau tetap ga bisa di pake juga,ribet bat mau beli kopi doang"
201,"Enak banget, bnyak promo ❤❤"
202,"aplikasih ny banyak promo gampang di gunakan,Mantap"
203,Banyak discount
204,Pelayanan kurang bagus
205,Tomoro coffe tmpt yg nyaman utk menikmati cita rasa coffe sejati..☺😍
206,Mantap lah good banget lebih mudah membeli
