,content
665,Gratissss
666,"The best, harus di coba guys"
667,"Kopinya enak, bahan"" yg di pakai premium.tempatnya cocok untuk nongkrong ngobrol santai sambil ngopi bareng teman"
668,"Sudah bagus, hanya ditingkatkan lagi, misalkan delivery...ada plat kendaraan atau no hp atau chat, bisa dilihat sudah dimana posisi delivery."
669,"Kopinya pakai biji kopi arabica, rasa lebih enak,creamy harga terjangkau, kualitas premium"
670,"sudh brp kali beli scara online dan rasanya cocok dilidah saya (enaaak).. bru kali ini mau coba lewat aplikasinya lgsug, tpi setting/buat alamat pengirimannya kok ga ada yaa . agak sulit jadinya"
671,kopinya Enak pelayanannya juga mantap
672,"Aplikasinya tidak ada alamat untuk pengiriman ke customer, jdi ketika pesan lewat aplikasi tidak tahu sudah dimana dan dikirim kmna. Nama pengirimnya dan no telp yang bisa dihubungi juga tidak ada. Jadi pesanan saya tidak tau dikirim ke alamat mana, tetapi pengantaran sudah selesai. Tolong diperbaiki lagi aplikasinya ya."
673,Kopinya enak nendang.
674,Ice coffee nya enak
675,"Enakk banget kopinyaa, cocok buat yang mau ngopi abis plg kerja❤"
676,"Enak rasa coffee nya,terimakasih sdh diantarkan free coffee nya🙏"
677,Wahhh coffee nya eank banget asli kalian harus coba .
678,"Mantaafff, belum pernah mengecewakan dan ramah2 semua barista nya ,.. good job 👍👍"
679,Mntap
680,Kerenn coffe nya enakk
681,Makasih yhhh
682,"Thanks for free coffee nya, enak banget, tempat nya oke"
683,"Pelayanan, harga dan rasa semuanya menyenangkan.. aplikasi nya juga simpel dan banyak promo2.."
684,"Pelayanan cepat, rasa enak"
685,Thanks TC
686,Mantap makasih kak kopi gratis nya😍
687,Sumpah ini kopi paling enak. Gratisss pula ga nyesel pokonya. Dicoba buruan
688,Top
689,Kopinya enak gak manis.... love it so much!!
690,Mantap
691,Its good..
692,Semoga Sukses
693,Kopinya rasanya enak sekali
694,Bagus
695,Admin tolong adain fitur #catatan atau #noted biar kita mau request less ice atau less sugar gampang
696,"Keren banget nih aplikasi, makasih banyak atas kopi gratisnya min 🥰😍😍😍😍😍😍😍"
697,Okay
698,Mantap rasanya
699,Jia you
700,"Thanks buat free kopi nya🥰 Tempatnya cozy banget buat nongkrong, meeting atau kerja hihi"
701,Mantaapp simple
702,Kopinya enak...mantap
703,"Good Coffe, Sukses Selalu"
704,"Thank you for the coffee, hopefully in the future it will always be successful Tomoro coffee👌"
705,ga bisa download
706,👍👍👍👍
707,Suksess selalu 🔥🔥🔥
708,Kopinya enak banget bikin kenyang tapi nagih 👍
